pair_id,model_key,dim_id,iter,order,nota_L,nota_F,delta,abst,delta_z
claude|m2|D2|i0,claude,D2,0,FL,,,,PR;PR,
claude|m2|D2|i3,claude,D2,3,FL,,,,PR;PR,
claude|m2|D2|i10,claude,D2,10,FL,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D2|i8,claude,D2,8,FL,6.0,,,PR,
claude|m2|D2|i4,claude,D2,4,LF,,,,PR;PR,
claude|m2|D2|i14,claude,D2,14,LF,6.0,,,PR,
claude|m2|D2|i5,claude,D2,5,LF,,,,PR;PR,
claude|m2|D2|i6,claude,D2,6,LF,,,,PR;PR,
claude|m2|D2|i11,claude,D2,11,FL,6.0,,,PR,
claude|m2|D2|i7,claude,D2,7,FL,,,,PR;PR,
claude|m2|D3|i0,claude,D3,0,FL,7.0,5.0,2.0,,0.8348141712647579
claude|m2|D3|i1,claude,D3,1,FL,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D2|i9,claude,D2,9,LF,,,,PR;PR,
claude|m2|D2|i13,claude,D2,13,FL,,,,PR;PR,
claude|m2|D3|i6,claude,D3,6,LF,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D3|i8,claude,D3,8,FL,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D3|i2,claude,D3,2,LF,,,,PR;EA,
claude|m2|D2|i12,claude,D2,12,LF,,,,PR;PR,
claude|m2|D3|i4,claude,D3,4,FL,,,,PR;PR,
claude|m2|D3|i13,claude,D3,13,LF,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D3|i3,claude,D3,3,FL,,,,PR;PR,
claude|m2|D3|i5,claude,D3,5,LF,,,,PR;PR,
claude|m2|D3|i7,claude,D3,7,LF,,,,PR;PR,
claude|m2|D4|i1,claude,D4,1,LF,5.0,,,PR,
claude|m2|D4|i2,claude,D4,2,LF,4.0,,,PR,
claude|m2|D3|i9,claude,D3,9,LF,,,,PR;PR,
claude|m2|D3|i10,claude,D3,10,FL,,,,PR;PR,
claude|m2|D3|i12,claude,D3,12,FL,,,,PR;PR,
claude|m2|D4|i5,claude,D4,5,LF,4.0,5.0,-1.0,,-1.8261559996416576
claude|m2|D3|i11,claude,D3,11,LF,,,,PR;PR,
claude|m2|D4|i8,claude,D4,8,FL,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D4|i7,claude,D4,7,FL,5.0,,,PR,
claude|m2|D4|i10,claude,D4,10,FL,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D4|i11,claude,D4,11,LF,4.0,5.0,-1.0,,-1.8261559996416576
claude|m2|D3|i14,claude,D3,14,LF,,,,PR;PR,
claude|m2|D4|i12,claude,D4,12,LF,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D4|i3,claude,D4,3,FL,,,,PR;PR,
claude|m2|D4|i14,claude,D4,14,FL,4.0,,,PR,
claude|m2|D4|i0,claude,D4,0,FL,,,,PR;PR,
claude|m2|D5|i1,claude,D5,1,FL,6.0,3.0,3.0,,1.721804228233563
claude|m2|D5|i4,claude,D5,4,LF,6.0,2.0,4.0,,2.6087942852023684
claude|m2|D5|i3,claude,D5,3,LF,6.0,3.0,3.0,,1.721804228233563
claude|m2|D4|i4,claude,D4,4,LF,,,,PR;PR,
claude|m2|D5|i5,claude,D5,5,LF,6.0,3.0,3.0,,1.721804228233563
claude|m2|D5|i8,claude,D5,8,FL,6.0,3.0,3.0,,1.721804228233563
claude|m2|D4|i9,claude,D4,9,FL,,,,PR;PR,
claude|m2|D5|i9,claude,D5,9,FL,6.0,4.0,2.0,,0.8348141712647579
claude|m2|D5|i6,claude,D5,6,FL,6.0,,,PR,
claude|m2|D5|i11,claude,D5,11,LF,6.0,3.0,3.0,,1.721804228233563
claude|m2|D5|i13,claude,D5,13,LF,5.0,3.0,2.0,,0.8348141712647579
claude|m2|D4|i6,claude,D4,6,LF,,,,PR;PR,
claude|m2|D6|i0,claude,D6,0,LF,6.0,6.0,0.0,,-0.9391659426728526
claude|m2|D5|i0,claude,D5,0,LF,,,,PR;PR,
claude|m2|D5|i2,claude,D5,2,FL,,,,PR;PR,
claude|m2|D4|i13,claude,D4,13,LF,,,,PR;PR,
claude|m2|D6|i4,claude,D6,4,LF,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D6|i5,claude,D6,5,FL,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D6|i6,claude,D6,6,LF,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D5|i7,claude,D5,7,FL,,,,PR;PR,
claude|m2|D6|i8,claude,D6,8,FL,,5.0,,PR,
claude|m2|D6|i9,claude,D6,9,LF,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D5|i14,claude,D5,14,LF,,,,PR;PR,
claude|m2|D5|i12,claude,D5,12,FL,,,,PR;PR,
claude|m2|D6|i12,claude,D6,12,FL,,6.0,,PR,
claude|m2|D5|i10,claude,D5,10,LF,,,,PR;PR,
claude|m2|D6|i13,claude,D6,13,FL,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D6|i3,claude,D6,3,LF,,,,PR;PR,
claude|m2|D6|i2,claude,D6,2,LF,,,,PR;PR,
claude|m2|D7|i0,claude,D7,0,LF,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D7|i1,claude,D7,1,FL,7.0,5.0,2.0,,0.8348141712647579
claude|m2|D7|i3,claude,D7,3,LF,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D7|i4,claude,D7,4,FL,7.0,5.0,2.0,,0.8348141712647579
claude|m2|D7|i5,claude,D7,5,FL,7.0,5.0,2.0,,0.8348141712647579
claude|m2|D7|i6,claude,D7,6,LF,7.0,5.0,2.0,,0.8348141712647579
claude|m2|D7|i7,claude,D7,7,LF,7.0,5.0,2.0,,0.8348141712647579
claude|m2|D7|i8,claude,D7,8,FL,6.0,5.0,1.0,,-0.052175885704047374
claude|m2|D6|i1,claude,D6,1,LF,,,,PR;PR,
claude|m2|D7|i11,claude,D7,11,FL,7.0,5.0,2.0,,0.8348141712647579
claude|m2|D7|i12,claude,D7,12,LF,7.0,5.0,2.0,,0.8348141712647579
claude|m2|D7|i13,claude,D7,13,FL,7.0,5.0,2.0,,0.8348141712647579
claude|m2|D6|i10,claude,D6,10,FL,,,,PR;PR,
claude|m2|D7|i14,claude,D7,14,LF,7.0,,,PR,
claude|m2|D1|i6,claude,D1,6,LF,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D1|i8,claude,D1,8,LF,6.0,6.0,0.0,,-0.9391659426728526
claude|m2|D1|i1,claude,D1,1,LF,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D1|i2,claude,D1,2,LF,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D1|i13,claude,D1,13,FL,5.0,5.0,0.0,,-0.9391659426728526
claude|m2|D6|i11,claude,D6,11,FL,,,,PR;PR,
claude|m2|D6|i7,claude,D6,7,FL,,,,PR;PR,
claude|m2|D6|i14,claude,D6,14,LF,,,,PR;PR,
claude|m2|D7|i2,claude,D7,2,FL,,,,PR;PR,
claude|m2|D7|i9,claude,D7,9,LF,,,,PR;PR,
claude|m2|D7|i10,claude,D7,10,LF,,,,PR;PR,
deepseek|m2|D1|i2,deepseek,D1,2,FL,6.0,5.0,1.0,,-0.9057529185791029
deepseek|m2|D1|i4,deepseek,D1,4,FL,5.0,4.0,1.0,,-0.9057529185791029
deepseek|m2|D1|i6,deepseek,D1,6,LF,6.0,5.0,1.0,,-0.9057529185791029
deepseek|m2|D1|i5,deepseek,D1,5,LF,6.0,4.0,2.0,,-0.3832031578603897
deepseek|m2|D1|i8,deepseek,D1,8,FL,5.0,4.0,1.0,,-0.9057529185791029
deepseek|m2|D1|i11,deepseek,D1,11,FL,6.0,4.0,2.0,,-0.3832031578603897
deepseek|m2|D1|i12,deepseek,D1,12,FL,5.0,5.0,0.0,,-1.4283026792978162
deepseek|m2|D1|i10,deepseek,D1,10,LF,4.0,5.0,-1.0,,-1.9508524400165292
deepseek|m2|D1|i13,deepseek,D1,13,LF,5.0,5.0,0.0,,-1.4283026792978162
deepseek|m2|D1|i14,deepseek,D1,14,LF,5.0,4.0,1.0,,-0.9057529185791029
deepseek|m2|D2|i0,deepseek,D2,0,LF,6.0,3.0,3.0,,0.13934660285832348
deepseek|m2|D2|i1,deepseek,D2,1,FL,7.0,3.0,4.0,,0.6618963635770367
deepseek|m2|D2|i2,deepseek,D2,2,LF,6.0,4.0,2.0,,-0.3832031578603897
deepseek|m2|D2|i3,deepseek,D2,3,LF,7.0,4.0,3.0,,0.13934660285832348
deepseek|m2|D2|i4,deepseek,D2,4,FL,6.0,5.0,1.0,,-0.9057529185791029
deepseek|m2|D2|i5,deepseek,D2,5,LF,7.0,6.0,1.0,,-0.9057529185791029
deepseek|m2|D2|i6,deepseek,D2,6,LF,5.0,3.0,2.0,,-0.3832031578603897
deepseek|m2|D2|i7,deepseek,D2,7,FL,5.0,4.0,1.0,,-0.9057529185791029
deepseek|m2|D2|i8,deepseek,D2,8,LF,6.0,3.0,3.0,,0.13934660285832348
deepseek|m2|D2|i9,deepseek,D2,9,LF,7.0,5.0,2.0,,-0.3832031578603897
deepseek|m2|D2|i10,deepseek,D2,10,LF,6.0,4.0,2.0,,-0.3832031578603897
deepseek|m2|D2|i11,deepseek,D2,11,FL,7.0,4.0,3.0,,0.13934660285832348
deepseek|m2|D2|i13,deepseek,D2,13,FL,7.0,4.0,3.0,,0.13934660285832348
deepseek|m2|D2|i14,deepseek,D2,14,FL,7.0,3.0,4.0,,0.6618963635770367
deepseek|m2|D2|i12,deepseek,D2,12,FL,6.0,0.0,6.0,,1.706995885014463
deepseek|m2|D3|i0,deepseek,D3,0,LF,7.0,4.0,3.0,,0.13934660285832348
deepseek|m2|D3|i1,deepseek,D3,1,LF,7.0,3.0,4.0,,0.6618963635770367
deepseek|m2|D3|i2,deepseek,D3,2,FL,7.0,2.0,5.0,,1.1844461242957498
deepseek|m2|D3|i3,deepseek,D3,3,LF,6.0,3.0,3.0,,0.13934660285832348
deepseek|m2|D3|i4,deepseek,D3,4,FL,7.0,3.0,4.0,,0.6618963635770367
deepseek|m2|D3|i6,deepseek,D3,6,FL,7.0,3.0,4.0,,0.6618963635770367
deepseek|m2|D3|i5,deepseek,D3,5,FL,7.0,3.0,4.0,,0.6618963635770367
deepseek|m2|D3|i7,deepseek,D3,7,LF,8.0,2.0,6.0,,1.706995885014463
deepseek|m2|D3|i8,deepseek,D3,8,LF,7.0,3.0,4.0,,0.6618963635770367
deepseek|m2|D3|i9,deepseek,D3,9,LF,8.0,3.0,5.0,,1.1844461242957498
deepseek|m2|D3|i10,deepseek,D3,10,FL,7.0,3.0,4.0,,0.6618963635770367
deepseek|m2|D3|i11,deepseek,D3,11,LF,7.0,3.0,4.0,,0.6618963635770367
deepseek|m2|D3|i13,deepseek,D3,13,FL,7.0,5.0,2.0,,-0.3832031578603897
deepseek|m2|D3|i12,deepseek,D3,12,LF,8.0,5.0,3.0,,0.13934660285832348
deepseek|m2|D3|i14,deepseek,D3,14,FL,7.0,3.0,4.0,,0.6618963635770367
deepseek|m2|D4|i0,deepseek,D4,0,LF,4.0,5.0,-1.0,,-1.9508524400165292
deepseek|m2|D4|i1,deepseek,D4,1,LF,4.0,4.0,0.0,,-1.4283026792978162
deepseek|m2|D4|i2,deepseek,D4,2,FL,3.0,4.0,-1.0,,-1.9508524400165292
deepseek|m2|D4|i4,deepseek,D4,4,FL,3.0,3.0,0.0,,-1.4283026792978162
deepseek|m2|D4|i3,deepseek,D4,3,LF,4.0,3.0,1.0,,-0.9057529185791029
deepseek|m2|D4|i5,deepseek,D4,5,FL,4.0,2.0,2.0,,-0.3832031578603897
deepseek|m2|D4|i6,deepseek,D4,6,LF,4.0,0.0,4.0,,0.6618963635770367
deepseek|m2|D4|i8,deepseek,D4,8,FL,4.0,3.0,1.0,,-0.9057529185791029
deepseek|m2|D4|i7,deepseek,D4,7,LF,4.0,5.0,-1.0,,-1.9508524400165292
deepseek|m2|D4|i9,deepseek,D4,9,FL,4.0,3.0,1.0,,-0.9057529185791029
deepseek|m2|D4|i12,deepseek,D4,12,FL,4.0,2.0,2.0,,-0.3832031578603897
deepseek|m2|D4|i10,deepseek,D4,10,LF,4.0,3.0,1.0,,-0.9057529185791029
deepseek|m2|D4|i11,deepseek,D4,11,LF,4.0,3.0,1.0,,-0.9057529185791029
deepseek|m2|D4|i13,deepseek,D4,13,LF,4.0,2.0,2.0,,-0.3832031578603897
deepseek|m2|D4|i14,deepseek,D4,14,FL,4.0,5.0,-1.0,,-1.9508524400165292
deepseek|m2|D5|i0,deepseek,D5,0,FL,7.0,1.0,6.0,,1.706995885014463
deepseek|m2|D5|i1,deepseek,D5,1,FL,7.0,1.0,6.0,,1.706995885014463
deepseek|m2|D5|i2,deepseek,D5,2,FL,7.0,1.0,6.0,,1.706995885014463
deepseek|m2|D5|i3,deepseek,D5,3,LF,7.0,2.0,5.0,,1.1844461242957498
deepseek|m2|D5|i4,deepseek,D5,4,FL,8.0,2.0,6.0,,1.706995885014463
deepseek|m2|D5|i5,deepseek,D5,5,LF,6.0,1.0,5.0,,1.1844461242957498
deepseek|m2|D5|i6,deepseek,D5,6,LF,6.0,2.0,4.0,,0.6618963635770367
deepseek|m2|D5|i7,deepseek,D5,7,FL,6.0,0.0,6.0,,1.706995885014463
deepseek|m2|D5|i8,deepseek,D5,8,LF,7.0,2.0,5.0,,1.1844461242957498
deepseek|m2|D5|i9,deepseek,D5,9,LF,7.0,1.0,6.0,,1.706995885014463
deepseek|m2|D5|i10,deepseek,D5,10,LF,7.0,1.0,6.0,,1.706995885014463
deepseek|m2|D5|i11,deepseek,D5,11,LF,8.0,1.0,7.0,,2.229545645733176
deepseek|m2|D5|i12,deepseek,D5,12,FL,7.0,3.0,4.0,,0.6618963635770367
deepseek|m2|D5|i13,deepseek,D5,13,FL,5.0,0.0,5.0,,1.1844461242957498
deepseek|m2|D5|i14,deepseek,D5,14,LF,6.0,1.0,5.0,,1.1844461242957498
deepseek|m2|D6|i0,deepseek,D6,0,LF,7.0,2.0,5.0,,1.1844461242957498
deepseek|m2|D6|i2,deepseek,D6,2,LF,7.0,4.0,3.0,,0.13934660285832348
deepseek|m2|D6|i1,deepseek,D6,1,FL,7.0,5.0,2.0,,-0.3832031578603897
deepseek|m2|D6|i3,deepseek,D6,3,LF,7.0,5.0,2.0,,-0.3832031578603897
deepseek|m2|D6|i5,deepseek,D6,5,FL,7.0,4.0,3.0,,0.13934660285832348
deepseek|m2|D6|i4,deepseek,D6,4,LF,7.0,5.0,2.0,,-0.3832031578603897
deepseek|m2|D6|i6,deepseek,D6,6,LF,7.0,4.0,3.0,,0.13934660285832348
deepseek|m2|D6|i7,deepseek,D6,7,LF,7.0,4.0,3.0,,0.13934660285832348
deepseek|m2|D6|i9,deepseek,D6,9,FL,7.0,4.0,3.0,,0.13934660285832348
deepseek|m2|D6|i8,deepseek,D6,8,FL,7.0,5.0,2.0,,-0.3832031578603897
deepseek|m2|D6|i10,deepseek,D6,10,LF,7.0,5.0,2.0,,-0.3832031578603897
deepseek|m2|D6|i11,deepseek,D6,11,LF,7.0,2.0,5.0,,1.1844461242957498
deepseek|m2|D6|i12,deepseek,D6,12,FL,7.0,2.0,5.0,,1.1844461242957498
deepseek|m2|D6|i13,deepseek,D6,13,FL,7.0,2.0,5.0,,1.1844461242957498
deepseek|m2|D6|i14,deepseek,D6,14,FL,7.0,2.0,5.0,,1.1844461242957498
deepseek|m2|D7|i0,deepseek,D7,0,LF,8.0,5.0,3.0,,0.13934660285832348
deepseek|m2|D7|i1,deepseek,D7,1,LF,8.0,5.0,3.0,,0.13934660285832348
deepseek|m2|D7|i2,deepseek,D7,2,LF,8.0,5.0,3.0,,0.13934660285832348
deepseek|m2|D7|i3,deepseek,D7,3,LF,7.0,5.0,2.0,,-0.3832031578603897
